run_accession	sample_accession	country	collection_date	sample_alias	fastq_ftp	scientific_name	city
ERR14788948	SAMEA13189691	Cameroon	2017-07-19	DTU_2017_1013527_1_MG_CM1707_L25	ftp.sra.ebi.ac.uk/vol1/fastq/ERR147/048/ERR14788948/ERR14788948_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/ERR147/048/ERR14788948/ERR14788948_2.fastq.gz	wastewater metagenome	Yaounde
ERR14788949	SAMEA13189692	Cameroon	2017-08-18	DTU_2017_1013528_1_MG_CM1708_L26	ftp.sra.ebi.ac.uk/vol1/fastq/ERR147/049/ERR14788949/ERR14788949_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/ERR147/049/ERR14788949/ERR14788949_2.fastq.gz	wastewater metagenome	Yaounde
ERR14788950	SAMEA13189693	Cameroon	2017-09-19	DTU_2017_1013529_1_MG_CM1709_L27	ftp.sra.ebi.ac.uk/vol1/fastq/ERR147/050/ERR14788950/ERR14788950_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/ERR147/050/ERR14788950/ERR14788950_2.fastq.gz	wastewater metagenome	Yaounde
ERR14789000	SAMEA13189694	USA	2017-09-28	DTU_2017_1013530_1_MG_US1709_L28	ftp.sra.ebi.ac.uk/vol1/fastq/ERR147/000/ERR14789000/ERR14789000_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/ERR147/000/ERR14789000/ERR14789000_2.fastq.gz	wastewater metagenome	Seattle
ERR14789001	SAMEA13189695	USA	2017-10-25	DTU_2017_1013531_1_MG_US1710_L29	ftp.sra.ebi.ac.uk/vol1/fastq/ERR147/001/ERR14789001/ERR14789001_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/ERR147/001/ERR14789001/ERR14789001_2.fastq.gz	wastewater metagenome	Seattle
ERR14789002	SAMEA13189696	USA	2017-01-12	DTU_2017_1013532_1_MG_US1712_L30	ftp.sra.ebi.ac.uk/vol1/fastq/ERR147/002/ERR14789002/ERR14789002_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/ERR147/002/ERR14789002/ERR14789002_2.fastq.gz	wastewater metagenome	Seattle
ERR14788978	SAMEA13189697	Malaysia	2017-12-05	DTU_2017_1013533_1_MG_MY1712_L31	ftp.sra.ebi.ac.uk/vol1/fastq/ERR147/078/ERR14788978/ERR14788978_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/ERR147/078/ERR14788978/ERR14788978_2.fastq.gz	wastewater metagenome	Kuala Lumpur
ERR14788979	SAMEA13189698	Malaysia	2018-01-04	DTU_2018_1013534_1_MG_MY1801_L32	ftp.sra.ebi.ac.uk/vol1/fastq/ERR147/079/ERR14788979/ERR14788979_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/ERR147/079/ERR14788979/ERR14788979_2.fastq.gz	wastewater metagenome	Kuala Lumpur
ERR14788980	SAMEA13189699	Malaysia	2018-01-06	DTU_2018_1013535_1_MG_MY1802_L33	ftp.sra.ebi.ac.uk/vol1/fastq/ERR147/080/ERR14788980/ERR14788980_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/ERR147/080/ERR14788980/ERR14788980_2.fastq.gz	wastewater metagenome	Kuala Lumpur
ERR14788977	SAMEA13189700	Malaysia	2017-11-04	DTU_2017_1013536_1_MG_MY1711_L34	ftp.sra.ebi.ac.uk/vol1/fastq/ERR147/077/ERR14788977/ERR14788977_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/ERR147/077/ERR14788977/ERR14788977_2.fastq.gz	wastewater metagenome	Kuala Lumpur
ERR14789017	SAMEA13189701	Canada	2017-07-26	DTU_2017_1013537_1_MG_CA1707_L35	ftp.sra.ebi.ac.uk/vol1/fastq/ERR147/017/ERR14789017/ERR14789017_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/ERR147/017/ERR14789017/ERR14789017_2.fastq.gz	wastewater metagenome	Regina
ERR14789018	SAMEA13189702	Canada	2017-08-22	DTU_2017_1013538_1_MG_CA1708_L36	ftp.sra.ebi.ac.uk/vol1/fastq/ERR147/018/ERR14789018/ERR14789018_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/ERR147/018/ERR14789018/ERR14789018_2.fastq.gz	wastewater metagenome	Regina
ERR14789019	SAMEA13189703	Canada	2017-09-27	DTU_2017_1013539_1_MG_CA1709_L37	ftp.sra.ebi.ac.uk/vol1/fastq/ERR147/019/ERR14789019/ERR14789019_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/ERR147/019/ERR14789019/ERR14789019_2.fastq.gz	wastewater metagenome	Regina
ERR14789020	SAMEA13189704	Canada	2017-10-25	DTU_2017_1013540_1_MG_CA1710_L38	ftp.sra.ebi.ac.uk/vol1/fastq/ERR147/020/ERR14789020/ERR14789020_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/ERR147/020/ERR14789020/ERR14789020_2.fastq.gz	wastewater metagenome	Regina
ERR14789040	SAMEA13189705	Ecuador	2017-12-23	DTU_2017_1013541_1_MG_EC1712_L39	ftp.sra.ebi.ac.uk/vol1/fastq/ERR147/040/ERR14789040/ERR14789040_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/ERR147/040/ERR14789040/ERR14789040_2.fastq.gz	wastewater metagenome	Quito
ERR14789041	SAMEA13189706	Ecuador	2018-01-31	DTU_2018_1013542_1_MG_EC1801_L40	ftp.sra.ebi.ac.uk/vol1/fastq/ERR147/041/ERR14789041/ERR14789041_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/ERR147/041/ERR14789041/ERR14789041_2.fastq.gz	wastewater metagenome	Quito
ERR14789042	SAMEA13189707	Ecuador	2018-02-28	DTU_2018_1013543_1_MG_EC1802_L41	ftp.sra.ebi.ac.uk/vol1/fastq/ERR147/042/ERR14789042/ERR14789042_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/ERR147/042/ERR14789042/ERR14789042_2.fastq.gz	wastewater metagenome	Quito
ERR14789021	SAMEA13189708	Canada	2017-12-19	DTU_2017_1013544_1_MG_CA1712_L42	ftp.sra.ebi.ac.uk/vol1/fastq/ERR147/021/ERR14789021/ERR14789021_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/ERR147/021/ERR14789021/ERR14789021_2.fastq.gz	wastewater metagenome	Regina
ERR14788928	SAMEA13189709	Australia	2017-12-21	DTU_2017_1013545_1_MG_AU1712_L43	ftp.sra.ebi.ac.uk/vol1/fastq/ERR147/028/ERR14788928/ERR14788928_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/ERR147/028/ERR14788928/ERR14788928_2.fastq.gz	wastewater metagenome	Melbourne
ERR14788929	SAMEA13189710	Australia	2018-01-23	DTU_2018_1013546_1_MG_AU1801_L44	ftp.sra.ebi.ac.uk/vol1/fastq/ERR147/029/ERR14788929/ERR14788929_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/ERR147/029/ERR14788929/ERR14788929_2.fastq.gz	wastewater metagenome	Melbourne
ERR14788930	SAMEA13189711	Australia	2018-02-26	DTU_2018_1013547_1_MG_AU1802_L45	ftp.sra.ebi.ac.uk/vol1/fastq/ERR147/030/ERR14788930/ERR14788930_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/ERR147/030/ERR14788930/ERR14788930_2.fastq.gz	wastewater metagenome	Melbourne
