name,taxid,ERR14789322,ERR14789323,ERR14789324,ERR14789325,ERR14789326,ERR14789327,ERR14789328,ERR14789329,ERR14789330,ERR14789331,ERR14789332,ERR14789333,ERR14789175,ERR14789176,ERR14789177,ERR14789178,ERR14789179,ERR14789181,ERR14789182,ERR14789183,ERR14789184,ERR14789185,ERR14789186,ERR14789187,ERR14789188,ERR14789189,ERR14789190,ERR14789307,ERR14789308,ERR14789309,ERR14789310,ERR14789311,ERR14789312,ERR14789313,ERR14789315,ERR14789316,ERR14789317,ERR14789318,ERR14789319,ERR14789320,ERR14789321,ERR14789259,ERR14789260,ERR14789261,ERR14789262,ERR14789263,ERR14789264,ERR14789265,ERR14789266,ERR14789267,ERR14789268,ERR14789269,ERR14789270,ERR14789271,ERR14789272,ERR14789273,ERR14789368,ERR14789369,ERR14789370,ERR14789371,ERR14789372,ERR14789373,ERR14789374,ERR14789375,ERR14789376,ERR14789377,ERR14789378,ERR14789379,ERR14789380,ERR14789381,ERR14789382,ERR14789353,ERR14789357,ERR14789358,ERR14789359,ERR14789360,ERR14789361,ERR14789362,ERR14789363,ERR14789364,ERR14789365,ERR14789366,ERR14789367,ERR14789334,ERR14789335,ERR14789337,ERR14789338,ERR14789339,ERR14789340,ERR14789341,ERR14789342,ERR14789343,ERR14789344,ERR14789345,ERR14789346,ERR14789347,ERR14789348,ERR14789282,ERR14789283,ERR14789284,ERR14789285,ERR14789286,ERR14789287,ERR14789288,ERR14789289,ERR14789290,ERR14789291,ERR14789292,ERR14789293,ERR14789294,ERR14789295,ERR14789296,ERR14789297
                  Machlomovirus,39739,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.27,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
                  Chlamydiamicrovirus,40274,,,,,,,,,,,,,,,,,,,,0.02,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
                Sapovirus,95341,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.06,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
                  Teseptimavirus,110456,,,,,,,,,0.23,,0.11,0.23,,,,,,,,,,0.14,,,,,,,,,,,,,,,,,,,,0.79,0.26,0.37,0.46,,0.24,,,0.49,,0.18,0.25,0.21,0.65,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.36,0.58,,,,0.21,0.65,,,,,
                Peduovirus,140410,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.18,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
                Allexivirus,140568,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.1
                Norovirus,142786,,,,,,,,,,,,,,,,,,,,,,,,,,0.16,0.14,,,,,,,,,,,,0.14,,,,,0.09,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.39,0.42,,1.65,,,,,,0.02,,,,0.31,
                Alphanodavirus,143920,,,,,,,,,,,,,1.38,1.1,,0.39,0.51,,0.83,0.19,0.31,0.21,0.17,0.3,0.27,0.24,0.63,,0.39,,,,0.39,0.2,,,,,,,,0.93,4.59,2.46,1.74,11.4,1.36,1.82,0.94,1.29,2.85,0.28,1.91,0.79,0.67,0.51,0.25,0.7,0.34,,,,,,0.85,,0.53,,,,,0.09,0.19,0.09,,0.14,,0.73,,,0.22,0.1,0.21,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
                Cripavirus,144051,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.13,,,,,,,,,,,,,,,,,,,,,,,19.31,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.27,,,,,,0.03,,,,,
                Myohalovirus,169682,,0.1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
                  Mardivirus,180252,,,,,,,,,0.13,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
                Chlorovirus,181083,,,,,,,,,,,,,,,,,,,,,,0.12,0.05,0.74,0.14,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.05,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.03,,,,,
                Prasinovirus,181084,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.07,,0.2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
                Phaeovirus,181085,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.17,3.09,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
                  Aureusvirus,186457,,,,0.11,0.03,,,,,,,,,,,,,,,0.02,,,,,,,,,,,,,,,,,,,,,,,0.06,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
              Ceduovirus,186532,,,,,,,,,,,0.07,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.24,0.06,0.09,1.6,,,,,,,,0.62,,,,,,,,,,,,,,,,,,,,,,,,,0.35,0.1,,,,0.11,0.09,,,,,,,,0.24,,,,,0.15,,0.15,,,,,,,,0.12,0.09,,,,,
              Fromanvirus,186764,0.91,0.09,,,,,,,,,0.18,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.11,0.07,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.03,0.18,0.14,0.12,0.06,0.54,,0.12,,,,,,,,,,,,,,,0.76,,,,,,,,,,,,,,0.04,0.23,,0.09,,
              Punavirus,186789,,,,,,,,,,,,,,,,,,,,,,,0.07,0.28,0.15,,,,,,,,0.72,0.17,,,,,0.16,,,,,,,,,,,0.24,,,,0.26,,,,,,,,,0.38,,,3.74,0.89,,,,0.7,0.05,,,,,,,,,,,,,,,,,,,,,,0.59,,,,,,,,,,,,,,0.04,,,,,
              Lederbergvirus,186794,,,,,,,,,,,,,,,,,,,,,,,0.1,,,,,,,,,,,,,,,,0.27,,,0.13,0.22,0.32,0.21,,,,,,,,0.35,0.48,0.13,,,,,,,,,,,,,1.09,,,,0.18,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.22,,,,,,
