name,taxid,ERR14789322,ERR14789323,ERR14789324,ERR14789325,ERR14789326,ERR14789327,ERR14789328,ERR14789329,ERR14789330,ERR14789331,ERR14789332,ERR14789333,ERR14789175,ERR14789176,ERR14789177,ERR14789178,ERR14789179,ERR14789181,ERR14789182,ERR14789183,ERR14789184,ERR14789185,ERR14789186,ERR14789187,ERR14789188,ERR14789189,ERR14789190,ERR14789307,ERR14789308,ERR14789309,ERR14789310,ERR14789311,ERR14789312,ERR14789313,ERR14789315,ERR14789316,ERR14789317,ERR14789318,ERR14789319,ERR14789320,ERR14789321,ERR14789259,ERR14789260,ERR14789261,ERR14789262,ERR14789263,ERR14789264,ERR14789265,ERR14789266,ERR14789267,ERR14789268,ERR14789269,ERR14789270,ERR14789271,ERR14789272,ERR14789273,ERR14789368,ERR14789369,ERR14789370,ERR14789371,ERR14789372,ERR14789373,ERR14789374,ERR14789375,ERR14789376,ERR14789377,ERR14789378,ERR14789379,ERR14789380,ERR14789381,ERR14789382,ERR14789353,ERR14789357,ERR14789358,ERR14789359,ERR14789360,ERR14789361,ERR14789362,ERR14789363,ERR14789364,ERR14789365,ERR14789366,ERR14789367,ERR14789334,ERR14789335,ERR14789337,ERR14789338,ERR14789339,ERR14789340,ERR14789341,ERR14789342,ERR14789343,ERR14789344,ERR14789345,ERR14789346,ERR14789347,ERR14789348,ERR14789282,ERR14789283,ERR14789284,ERR14789285,ERR14789286,ERR14789287,ERR14789288,ERR14789289,ERR14789290,ERR14789291,ERR14789292,ERR14789293,ERR14789294,ERR14789295,ERR14789296,ERR14789297
              Nonanavirus,1921122,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.07,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.37,,,,,,,,,,,,0.32,
                  Pakpunavirus,1921407,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.28,,,,,,,,,,,,,,,,,,,,,,,,0.42,,,,,,0.11,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
              Kleczkowskavirus,1921525,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.13,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
              Septimatrevirus,1921544,,,,,,,,,,,0.1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.54,0.34,0.63,0.52,,0.56,0.54,,0.25,0.15,,0.19,,0.48,0.81,,,,,,,,,,,,,,,,0.1,,0.07,0.13,0.12,,,,,,,0.23,0.1,,,,,0.81,,,,,,,,0.1,,,,,,0.17,,,0.12,0.07,0.1,,,,,
                  Wphvirus,1922327,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.13,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
              Enhodamvirus,1922329,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.24,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
                Gemykibivirus,1941236,0.42,0.19,,0.96,0.04,1.14,,0.34,,,0.14,,1.74,3.05,1.05,10.59,1.56,2.63,4.53,1.91,2.66,1.52,1.24,2.72,5.8,4.42,3.14,,0.47,0.34,,,5.31,0.44,0.67,0.26,,,,,,0.69,4.53,2.28,2.16,,0.39,0.38,0.68,0.23,0.35,,0.45,0.12,,,0.95,5.3,0.99,2.04,1.47,1.14,1.08,5.17,7.0,10.43,8.36,0.81,2.2,4.63,3.4,0.11,,0.14,,0.14,,,,2.62,0.34,,0.35,0.37,2.24,,0.75,,0.57,5.26,2.39,0.19,0.35,3.97,,,0.37,,0.56,0.16,0.58,13.66,,,0.29,0.15,0.06,0.1,0.44,0.18,0.22,0.15,0.26
                Gemykolovirus,1941238,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.66,,,,0.35,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
                  Orthonairovirus,1980517,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.17,,,,,,,,,,,,,,,,,,,,,,0.13,,0.17,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
                  Sepunavirus,1980928,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.03,,,,,
              Yokohamavirus,1980938,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.08,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
              Korravirus,1982076,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.01,,,,,
              Mudcatvirus,1982088,0.39,,,,,,,,,,0.1,,,,,,,,,,,,0.06,,,,,,,,,0.14,,,,,,,0.1,,,0.16,0.07,,0.08,,,,,,,,,,,,0.16,,,0.41,,,,,0.45,,,,,0.28,,0.03,,,,,,,,,,,,,,,,,,0.28,1.7,,,,,,,,,,,,,,,0.12,0.08,0.14,,,,,0.11
                  Abidjanvirus,1982095,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.26,0.1,0.17,0.2,,0.5,0.32,,,,,,,0.11,0.18,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.02,,,,,
              Eiauvirus,1982111,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.23,,,0.69,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
              Gordonvirus,1982152,0.79,,,,0.04,,,,,,0.09,,,,,,,,,,,,,,,,0.08,,,,,0.19,,,,,,,,,,0.09,0.11,0.09,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.12,,,,,,0.26,6.65,,,,,,0.1,,,,,,0.15,,,0.12,0.07,0.13,,,,,0.12
              Gordtnkvirus,1982218,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.01,,,,,
              Nipunavirus,1982239,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.08,,,,,,,,,,0.33,0.17,0.14,0.27,,0.2,0.28,0.22,0.31,0.16,,,,0.22,0.18,,,,,,,,,,,,,,,,,0.18,,0.08,,,0.16,,,0.19,0.1,0.4,,,,0.78,,0.24,,,,,,,,,,0.2,,,,,,,,0.06,0.05,,,,,
              Pahexavirus,1982251,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.02,,,,,
                  Pamexvirus,1982355,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.08,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
              Pepyhexavirus,1982367,,,,0.04,0.05,,,,,0.1,0.1,0.31,,,,,,,,,,,,0.23,,,0.1,,,,,0.11,,,,,,,,,,0.21,0.14,0.14,0.12,,0.17,,,,,,,,0.13,,,,,,,,,,,,,0.39,,,,0.03,,,,,,,,,,,,1.57,1.98,,,,,2.7,0.53,,1.78,,,0.04,0.82,,,0.09,,,0.17,,,0.14,0.13,0.17,,,0.08,,0.11
              Roufvirus,1982370,,,,,,,,,,,,,,,,,,,,0.02,,0.12,0.12,0.11,0.19,,0.11,,,,,0.15,,0.12,,,0.11,,0.2,,,,0.08,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.13,,,,,,,,
              Titanvirus,1982573,,0.07,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.08,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.11,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
                  Johnsonvirus,1982576,,,,,,,,,,,,,,,,,,,,,,,,,0.12,,,,,,,0.25,,0.11,,,,,,0.42,,0.11,0.1,0.1,,,0.15,,,,,,,,,,,,,0.41,,,,,,,,,,,,0.03,,,,,,,,,,,,0.1,,,,,,,,,,,0.02,,,,,,,,,,,,,0.02,,,,,
              Kochitakasuvirus,1982590,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.08,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
                  Luzseptimavirus,1982594,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.07,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.23,,,,,,,,,,,,,,,,,,
              Likavirus,1982880,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.28,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.03,,,,,
              Coopervirus,1982898,,0.1,,0.04,0.08,0.34,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
              Rosebushvirus,1982900,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.45,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
              Fishburnevirus,1983734,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.12,,,,,
                  Kolesnikvirus,1985293,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.07,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.12,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
                  Mooglevirus,1985303,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.09,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.17,,0.03,,,0.1,,0.08
                  Jiaodavirus,1985325,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.16,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.17,,0.07,,,0.05,,
                Slopekvirus,1985328,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.15,0.12,0.21,,0.62,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.04,,,,,,,,2.86,,,,0.08,2.47,,0.16,0.07,,
                  Moonvirus,1985329,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.02,,,,,
                Gemyduguivirus,1985365,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.39,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
                Gemygorvirus,1985366,,,,,,,,,,,,,,0.18,,,,,0.89,0.03,,,,,0.21,,,,,,,,0.42,,,,,,,,,,0.11,,0.1,,,,,,,,,,,,,0.44,,,,,,,,,1.24,,,,0.46,,,,,,,,,,,,,,,,,,,0.47,,,,0.32,,,,,,,,,,,,,,,,,,,
                Gemykrogvirus,1985367,,,,,0.08,,,,,0.21,0.06,,,0.72,,0.6,,,,0.05,0.16,0.13,0.06,,0.11,,,,,,,,,,,,,,,,1.23,,0.08,0.3,0.69,,,,,,,,,,,,0.27,3.98,0.47,0.69,1.91,0.23,0.31,,0.89,,0.63,,0.3,0.55,,0.09,,0.25,,0.08,,,,,,,,,,,,,,0.42,,0.29,,0.34,,,,2.68,0.16,,,0.51,,,0.19,,,0.02,0.16,0.17,0.19,,0.08
                  Friunavirus,1985711,,,,0.04,,,2.12,0.58,,,0.26,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.18,0.18,0.37,0.27,,0.22,0.46,0.23,0.23,0.34,1.54,1.5,5.06,,0.57,,,,,,,,,,,,,,,,,,0.06,,,,0.24,0.08,,,,,,,,,,,,,,0.28,,,,,,,,,,,,0.11,,,0.04,,,0.77,,
                  Przondovirus,1985720,,,,,,,,,,,0.11,,,0.34,1.19,0.95,0.51,0.93,,0.04,0.38,0.24,0.16,0.41,0.43,0.45,0.19,,,,,0.23,,0.16,1.06,,0.2,0.25,0.22,,,0.7,0.33,0.34,0.38,,0.82,0.38,0.48,0.52,0.13,0.14,,0.53,0.35,0.42,,,,,,,,,,,,,,,,0.04,,,,,,,,,0.28,,,,,,,,,,,,,,0.04,0.39,,,2.0,0.18,0.52,0.7,7.64,23.76,0.33,0.8,0.17,10.39,0.79,0.2,0.27,0.1,0.4
                  Pradovirus,1985733,,0.07,,0.04,0.03,,,,,,,,,0.25,0.81,1.26,0.82,0.61,,0.06,0.37,0.21,0.18,0.22,0.24,0.16,0.12,,,,,0.12,0.21,0.11,,,,,,,,0.11,0.2,0.13,,,,0.22,,0.48,,,,0.22,,0.18,0.32,0.44,,0.97,0.27,0.67,0.45,,1.25,1.27,0.21,0.55,0.35,1.11,0.55,0.06,,,0.07,0.06,,0.25,0.9,,0.17,0.22,,,,0.16,,,0.24,,,,,,,,,,0.17,,,0.16,,,0.12,0.16,0.23,0.14,,,0.11,0.06,0.09
                Wildcatvirus,1993858,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.26,,,,,,,,,,,,,,,,,,,,,,,
          Pandoravirus,2060084,0.53,,,,0.09,,0.46,,1.56,0.35,0.25,,,,,,,,,,,,0.13,0.56,,0.47,0.39,,,,,0.16,,,,,,,0.21,,,0.69,0.63,0.54,0.46,,,0.85,,,,,0.58,,0.7,,,0.64,,,,,,,,,2.19,,,,,0.06,,0.2,0.27,,,0.26,0.7,,0.69,,1.26,,,,,,1.38,,,,,1.21,0.03,,0.27,,,,,,,,,,,0.13,,,,0.15,
                  Tupanvirus,2094720,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.1,0.07,,0.08,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.25,,,0.21,,,,0.16,0.14,,,0.06,0.19,0.11
                  Agtrevirus,2169532,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.07,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.13,0.21,,0.04,,,0.19,,0.1
                  Kuttervirus,2169536,,,,,,,,,,,0.05,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.08,,,0.08,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.05,,,0.07,,0.1
              Limdunavirus,2169621,0.19,0.09,,0.2,0.09,,0.15,,0.34,0.19,0.19,,,,,,,,,0.02,,,0.06,,,,0.07,,,,,,,,,,,,,,,,,,0.21,,,,,,,,,,,0.18,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.08,,,,,0.13,,0.18,0.03,,,0.07,0.06,
              Unaquatrovirus,2169622,,,,,,,,,,0.1,0.07,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.29,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
                Machinavirus,2169624,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.28,,0.09,0.08,,,,,,0.16,,,,0.13,,,,,,,,,,,,,,,,,,,,0.11,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.02,,,,,
              Svunavirus,2169625,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.07,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
                  Jwalphavirus,2169642,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.24,,,,,,,,,,,,,,,,,,,,,,1.1,,,,0.2,,,,,,,,,,,,,,,,,,,,,,,,,,0.07,,,,,,
                  Ithacavirus,2169643,,,,0.05,,,,,,,0.06,,,,,,,,,,,,,0.18,0.14,0.22,0.09,,,,,,,,,,,,,,,0.17,0.42,0.31,0.22,,0.3,0.38,,,1.11,,,0.2,0.16,0.29,,,,,,,,,,,,,,,,0.06,,,,0.06,,,,,,,,,,,,,,,,0.41,,,,,,,,,,,,,,0.45,,0.02,,,0.06,,0.38
                Sopolycivirus,2169646,,0.29,,0.04,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
              Doucettevirus,2169653,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.11,,0.11,0.07,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
                  Wizardvirus,2169658,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.09,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.03,,,,,
                Huchismacovirus,2169662,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.06,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
                Porprismacovirus,2169663,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.42,,,0.21,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.19,,,,0.03,,,,,
                Husavirus,2219049,,,,,0.05,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.1,,0.19,0.22,,,,,,,,,,,,,,,,,,,,0.47,0.44,1.01,1.0,0.95,0.56,0.61,0.76,0.53,,0.53,0.91,0.75,0.42,0.41,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.29,,,,,,,,,,,
                    Mobatvirus,2501367,,,,0.06,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
                    Pregotovirus,2508244,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.17,,,,0.23,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
                Ahduovirus,2560084,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.12,0.11,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
              Alcyoneusvirus,2560086,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.11,0.1,,0.5,,,,,,0.15,,,,,0.18,,,,,,,,,,,,,,,,,,0.05,,,,0.2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
              Asteriusvirus,2560094,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.17,0.08,0.37,0.35,,0.17,,,,,0.79,0.58,0.48,0.31,0.37,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.06,0.07,,,,,0.08
              Bantamvirus,2560096,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.02,,,,,
                Bifseptvirus,2560102,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.14,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
              Bingvirus,2560103,,,,,,,,,,,0.05,,,,,,,,,,,,,,,,,,,,,0.12,,,,,,,,,,0.07,0.06,,0.08,,,,,,,,,,,,,,,0.48,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.02,,0.08,,,,,,,,,,,0.04,,,,,
              Bjornvirus,2560104,,0.09,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
              Brunovirus,2560108,,,,,,,,,,,,,,0.18,,,,,,,,,,0.15,,,,,,,,,,,,,,,,,,0.11,0.39,0.15,0.09,,0.35,,,,,,,,,,,,,,,,,,,,,0.33,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.05,,
                  Ceetrepovirus,2560111,,,,,,,,,,,,,,0.15,,,,,,0.03,0.13,0.12,0.05,,,,,,,,,0.12,,,,,,,,,,5.71,1.98,0.68,1.21,2.32,,0.6,1.53,7.53,5.96,2.08,3.28,0.47,0.35,0.68,,,,,2.16,,,,,,,0.36,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
              Chakrabartyvirus,2560113,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.1,,,,,,,,,,,,,,,,,,
                  Coguvirus,2560118,0.34,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.51,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
              Dismasvirus,2560122,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.17,,,0.41,,,,,,,,0.36,0.18,0.28,,0.14,,,,,,,,,,,,0.13,16.92,,,,2.04,1.06,1.33,0.19,,,,,0.18,,,,,,,,,,,0.02,,,,,
              Efquatrovirus,2560124,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.12
              Elerivirus,2560126,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.02,,,,,
              Eneladusvirus,2560128,,,,,,,,,,0.12,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.09,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.13,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.02,,,,,
              Farahnazvirus,2560130,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.25,4.6,0.45,,0.19,,0.97,2.01,,2.4,2.19,0.55,0.48,0.28,0.72,,,,,,,,,,,,,0.09,,,,,0.33,0.85,0.87,,,,,,,,,,,,,,,,,,,,,,
              Fipvunavirus,2560132,,,,0.09,0.04,,,,,,,,,,,,,,,,,,,0.12,,,,,,,,0.08,,,,,,,,,,0.12,0.08,,,,,,,,,,,,,,0.28,,0.19,1.28,0.39,0.67,0.5,,0.76,,,0.98,,1.33,1.48,,,,,,,,0.12,,,,,0.09,,,,,,,,0.17,,,,,,,,,,,,,,,,,,,,,
                  Flaumdravirus,2560133,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.22,,0.88,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.0,,,,,,,,,,,1.5,,,,,,,,,,,,,,,,,,
              Gofduovirus,2560141,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.43,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
              Gustavvirus,2560144,0.64,,,,,,,,,,,,,,,,,0.41,,,0.18,,,0.13,,,,,,,,,,,,,,,,,,,,0.08,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.03,,,,,,,,,0.21,,,,,,,0.75,,,,,,,,,,,,,,,,,,,,,,,,,
                Iapetusvirus,2560148,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.07,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
              Ilzatvirus,2560150,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.14,,,,,,,,0.38,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
              Kojivirus,2560161,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.2,0.12,0.08,0.08,,,,,,,,,0.13,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
              Krylovvirus,2560162,,0.16,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.19,0.79,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
                Locarnavirus,2560169,,,,0.04,0.03,,,0.37,0.2,,0.07,,,,,,,,,,,,,,0.39,3.58,1.47,,,,,,,,,,,,,,,,,,,1.69,,,,,,,,,,,,,,,,,,,,,,,,,,0.03,,,,,,,,,,,,,,,,,,,,0.4,,,,,,,,,,,,,,,,,,,,,
