realm,kingdom,phylum,class,order,family,genus,species
 Duplodnaviria, Heunggongvirae, Uroviricota, Caudoviricetes, Caudoviricetes incertae sedis, Yvonnevirus, Yvonnevirus yvonnetastic, Gordonia virus Yvonnetastic
 Duplodnaviria, Heunggongvirae, Uroviricota, Caudoviricetes, Caudoviricetes incertae sedis, Lambovirus, Lambovirus zany,
 Monodnaviria, Shotokuvirae, Commensaviricota, Cardeaviricetes, Sanitavirales, Anelloviridae, Omegatorquevirus, Omegatorquevirus hominid1
 Monodnaviria, Shotokuvirae, Cressdnaviricota, Arfiviricetes, Cremevirales, Smacoviridae, Porprismacovirus, Porprismacovirus goras1
 Monodnaviria, Shotokuvirae, Cossaviricota, Papovaviricetes, Sepolyvirales, Polyomaviridae, Alphapolyomavirus, Alphapolyomavirus gorillae
 Viruses incertae sedis, Alphasatellitidae, Geminialphasatellitinae, Colecusatellite, Colecusatellite gossypiumdarwinii,,,
 Viruses incertae sedis, Alphasatellitidae, Geminialphasatellitinae, Gosmusatellite, Gosmusatellite gossypiummustelini,,,
 Riboviria, Orthornavirae, Negarnaviricota, Polyploviricotina, Bunyaviricetes, Hareavirales, Phenuiviridae, Bocivirus
 Riboviria, Orthornavirae, Negarnaviricota, Polyploviricotina, Bunyaviricetes, Hareavirales, Phenuiviridae, Laulavirus
 Riboviria, Orthornavirae, Kitrinoviricota, Alsuviricetes, Tymovirales, Tymoviridae, Marafivirus, Marafivirus asteroides
 Riboviria, Pararnavirae, Artverviricota, Revtraviricetes, Ortervirales, Caulimoviridae, Badnavirus, Badnavirus vitis
 Riboviria, Orthornavirae, Pisuviricota, Pisoniviricetes, Sobelivirales, Solemoviridae, Enamovirus, Enamovirus GEV
 Riboviria, Orthornavirae, Kitrinoviricota, Alsuviricetes, Martellivirales, Endornaviridae, Alphaendornavirus, Alphaendornavirus vitis
 Riboviria, Orthornavirae, Kitrinoviricota, Alsuviricetes, Tymovirales, Tymoviridae, Maculavirus, Maculavirus vitis
 Monodnaviria, Shotokuvirae, Cressdnaviricota, Repensiviricetes, Geplafuvirales, Geminiviridae, Maldovirus, Maldovirus vitis
 Viruses incertae sedis, Pospiviroidae, Apscaviroid, Apscaviroid latensvitis,,,,
 Riboviria, Orthornavirae, Kitrinoviricota, Alsuviricetes, Martellivirales, Closteroviridae, Ampelovirus, Ampelovirus univitis
 Riboviria, Orthornavirae, Kitrinoviricota, Alsuviricetes, Martellivirales, Closteroviridae, Ampelovirus, unclassified Ampelovirus
 Riboviria, Orthornavirae, Kitrinoviricota, Alsuviricetes, Martellivirales, Closteroviridae, Ampelovirus, Ampelovirus tredecimvitis
 Riboviria, Orthornavirae, Kitrinoviricota, Alsuviricetes, Martellivirales, Closteroviridae, Closterovirus, Closterovirus vitis
 Riboviria, Orthornavirae, Kitrinoviricota, Alsuviricetes, Martellivirales, Closteroviridae, Ampelovirus, Ampelovirus trivitis
 Riboviria, Orthornavirae, Kitrinoviricota, Alsuviricetes, Martellivirales, Closteroviridae, Ampelovirus, Ampelovirus tetravitis
 Riboviria, Orthornavirae, Kitrinoviricota, Alsuviricetes, Martellivirales, Closteroviridae, Velarivirus, Velarivirus septemvitis
 Riboviria, Orthornavirae, Kitrinoviricota, Alsuviricetes, Martellivirales, Bromoviridae, Anulavirus, Anulavirus GLPV
 Monodnaviria, Shotokuvirae, Cressdnaviricota, Repensiviricetes, Geplafuvirales, Geminiviridae, Grablovirus, Grablovirus vitis
 Riboviria, Pararnavirae, Artverviricota, Revtraviricetes, Ortervirales, Caulimoviridae, Badnavirus, Badnavirus decoloratiovitis
 Riboviria, Orthornavirae, Kitrinoviricota, Alsuviricetes, Tymovirales, Tymoviridae, Marafivirus, unclassified Marafivirus
 Riboviria, Riboviria incertae sedis, Tombendovirales, Tomosaviridae, Virtovirus, unclassified Virtovirus,,
 Riboviria, Orthornavirae, Kitrinoviricota, Alsuviricetes, Tymovirales, Tymoviridae, Marafivirus, Marafivirus syrahense
 Riboviria, Pararnavirae, Artverviricota, Revtraviricetes, Ortervirales, Caulimoviridae, Badnavirus, Badnavirus venavitis
 Viruses incertae sedis, Pospiviroidae, Apscaviroid, Apscaviroid alphaflavivitis,,,,
 Viruses incertae sedis, Pospiviroidae, Apscaviroid, Apscaviroid betaflavivitis,,,,
 Monodnaviria, Shotokuvirae, Cressdnaviricota, Repensiviricetes, Geplafuvirales, Genomoviridae, Gemykolovirus, Gemykolovirus easlu1
 Riboviria, Pararnavirae, Artverviricota, Revtraviricetes, Ortervirales, Caulimoviridae, Badnavirus, Badnavirus venazanthoxyli
 Riboviria, Orthornavirae, Kitrinoviricota, Alsuviricetes, Martellivirales, Endornaviridae, Betaendornavirus, Betaendornavirus gremmeniellae
 Riboviria, Orthornavirae, Pisuviricota, Duplopiviricetes, Durnavirales, Partitiviridae, Gammapartitivirus, Gammapartitivirus gremmeniellae
 Riboviria, Orthornavirae, Lenarviricota, Howeltoviricetes, Cryppavirales, Mitoviridae, Unuamitovirus, Unuamitovirus grab1
 Riboviria, Orthornavirae, Negarnaviricota, Polyploviricotina, Bunyaviricetes, Elliovirales, Tospoviridae, unclassified Tospoviridae
 Riboviria, Orthornavirae, Pisuviricota, Pisoniviricetes, Sobelivirales, Solemoviridae, Polerovirus, Polerovirus GRAV
 Riboviria, Orthornavirae, Pisuviricota, Pisoniviricetes, Picornavirales, Picornaviridae, Heptrevirinae, Gruhelivirus
 Riboviria, Orthornavirae, Pisuviricota, Pisoniviricetes, Picornavirales, Picornaviridae, Paavivirinae, Grusopivirus
 Viruses incertae sedis, Naldaviricetes, Lefavirales, Nudiviridae, Alphanudivirus, Alphanudivirus grybimaculati,,
 Riboviria, Orthornavirae, Negarnaviricota, Polyploviricotina, Bunyaviricetes, Hareavirales, Phenuiviridae, Phasivirus
 Riboviria, Orthornavirae, Pisuviricota, Pisoniviricetes, Picornavirales, Picornaviridae, Heptrevirinae, Caecilivirus
 Riboviria, Orthornavirae, Pisuviricota, Pisoniviricetes, Nidovirales, Arnidovirineae, Gresnaviridae, Reternivirinae
 Riboviria, Orthornavirae, Negarnaviricota, Haploviricotina, Monjiviricetes, Jingchuvirales, Chuviridae, Piscichuvirus
 Riboviria, Orthornavirae, Kitrinoviricota, Flasuviricetes, Amarillovirales, Flaviviridae, Hepacivirus, Hepacivirus colobi
 Riboviria, Orthornavirae, Negarnaviricota, Haploviricotina, Monjiviricetes, Mononegavirales, Lispiviridae, Aranavirus
 Riboviria, Orthornavirae, Negarnaviricota, Haploviricotina, Monjiviricetes, Mononegavirales, Lispiviridae, Aranbvirus
 Monodnaviria, Shotokuvirae, Cressdnaviricota, Arfiviricetes, Cirlivirales, Circoviridae, Circovirus, Circovirus gull
 Duplodnaviria, Heunggongvirae, Uroviricota, Caudoviricetes, Autographivirales, Autosignataviridae, Colwellvirinae, Gutovirus
 Monodnaviria, Shotokuvirae, Commensaviricota, Cardeaviricetes, Sanitavirales, Anelloviridae, Gyrovirus, Gyrovirus myferr1
 Monodnaviria, Shotokuvirae, Commensaviricota, Cardeaviricetes, Sanitavirales, Anelloviridae, Gyrovirus, Gyrovirus galga2
 Monodnaviria, Shotokuvirae, Commensaviricota, Cardeaviricetes, Sanitavirales, Anelloviridae, Gyrovirus, Gyrovirus fulgla1
 Riboviria, Orthornavirae, Negarnaviricota, Haploviricotina, Monjiviricetes, Mononegavirales, Mymonaviridae, Phyllomonavirus
 Riboviria, Orthornavirae, Pisuviricota, Stelpaviricetes, Patatavirales, Potyviridae, Potyvirus, Potyvirus habenariae
 Riboviria, Orthornavirae, Pisuviricota, Pisuviricota incertae sedis, Hadakaviridae, Hadakavirus, Hadakavirus nanga,
 Duplodnaviria, Heunggongvirae, Uroviricota, Caudoviricetes, Caudoviricetes incertae sedis, Peduoviridae, Hpunavirus, Hpunavirus HP1
 Duplodnaviria, Heunggongvirae, Uroviricota, Caudoviricetes, Caudoviricetes incertae sedis, Peduoviridae, Hpunavirus, Hpunavirus HP2
 Duplodnaviria, Heunggongvirae, Uroviricota, Caudoviricetes, Caudoviricetes incertae sedis, Casjensviridae, Enchivirus, Enchivirus Enc34
 Duplodnaviria, Heunggongvirae, Uroviricota, Caudoviricetes, Caudoviricetes incertae sedis, Drexlerviridae, Tempevirinae, Pocisvirus
 Duplodnaviria, Heunggongvirae, Uroviricota, Caudoviricetes, Caudoviricetes incertae sedis, Andersonviridae, Andersonviridae incertae sedis, Daniellevirus
 Duplodnaviria, Heunggongvirae, Uroviricota, Caudoviricetes, Caudoviricetes incertae sedis, Hafyongvirus, Hafyongvirus yong1,
 Riboviria, Orthornavirae, Pisuviricota, Pisoniviricetes, Nidovirales, Arnidovirineae, Olifoviridae, Gofosavirinae
 Riboviria, Orthornavirae, Negarnaviricota, Polyploviricotina, Bunyaviricetes, Elliovirales, Hantaviridae, Repantavirinae
 Riboviria, Orthornavirae, Pisuviricota, Pisoniviricetes, Picornavirales, Picornaviridae, Kodimesavirinae, Hemipivirus
 Singelaviria, Helvetiavirae, Dividoviricota, Laserviricetes, Halopanivirales, Sphaerolipoviridae, Alphasphaerolipovirus, Alphasphaerolipovirus viikkii
 Duplodnaviria, Heunggongvirae, Uroviricota, Caudoviricetes, Thumleimavirales, Druskaviridae, Hacavirus, Hacavirus italiense
 Duplodnaviria, Heunggongvirae, Uroviricota, Caudoviricetes, Caudoviricetes incertae sedis, Saparoviridae, Samsavirus, Samsavirus crystalli
 Singelaviria, Helvetiavirae, Dividoviricota, Laserviricetes, Halopanivirales, Sphaerolipoviridae, Alphasphaerolipovirus, Alphasphaerolipovirus helsinkii
 Monodnaviria, Trapavirae, Saleviricota, Huolimaviricetes, Haloruvirales, Pleolipoviridae, Alphapleolipovirus, Alphapleolipovirus italiense
 Monodnaviria, Trapavirae, Saleviricota, Huolimaviricetes, Haloruvirales, Pleolipoviridae, Alphapleolipovirus, Alphapleolipovirus huluense
 Monodnaviria, Trapavirae, Saleviricota, Huolimaviricetes, Haloruvirales, Pleolipoviridae, Betapleolipovirus, Betapleolipovirus thailandense
 Monodnaviria, Trapavirae, Saleviricota, Huolimaviricetes, Haloruvirales, Pleolipoviridae, Betapleolipovirus, Betapleolipovirus italiense
 Singelaviria, Helvetiavirae, Dividoviricota, Laserviricetes, Halopanivirales, Sphaerolipoviridae, Alphasphaerolipovirus, Alphasphaerolipovirus serpentinense
 Duplodnaviria, Heunggongvirae, Uroviricota, Caudoviricetes, Caudoviricetes incertae sedis, Madisaviridae, Clampvirus, Clampvirus italiense
 Duplodnaviria, Heunggongvirae, Uroviricota, Caudoviricetes, Caudoviricetes incertae sedis, Saparoviridae, Halohivirus, Halohivirus suolae
 Singelaviria, Helvetiavirae, Dividoviricota, Laserviricetes, Halopanivirales, Sphaerolipoviridae, Alphasphaerolipovirus, Alphasphaerolipovirus pinkense
 Duplodnaviria, Heunggongvirae, Uroviricota, Caudoviricetes, Thumleimavirales, Hafunaviridae, Haloferacalesvirus, unclassified Haloferacalesvirus
 Duplodnaviria, Heunggongvirae, Uroviricota, Caudoviricetes, Kirjokansivirales, Shortaselviridae, Lonfivirus, Lonfivirus codicilli
 Duplodnaviria, Heunggongvirae, Uroviricota, Caudoviricetes, Thumleimavirales, Soleiviridae, Eilatmyovirus, Eilatmyovirus salis
 Duplodnaviria, Heunggongvirae, Uroviricota, Caudoviricetes, Kirjokansivirales, Pyrstoviridae, Hatrivirus, Hatrivirus caudatum
 Duplodnaviria, Heunggongvirae, Uroviricota, Caudoviricetes, Thumleimavirales, Druskaviridae, Tredecimvirus, Tredecimvirus thailandense
 Monodnaviria, Trapavirae, Saleviricota, Huolimaviricetes, Haloruvirales, Pleolipoviridae, Gammapleolipovirus, Gammapleolipovirus hardyense
 Monodnaviria, Trapavirae, Saleviricota, Huolimaviricetes, Haloruvirales, Pleolipoviridae, unclassified Pleolipoviridae,
 Duplodnaviria, Heunggongvirae, Uroviricota, Caudoviricetes, Thumleimavirales, Hafunaviridae, Mincapvirus, unclassified Mincapvirus
 Duplodnaviria, Heunggongvirae, Uroviricota, Caudoviricetes, Thumleimavirales, Druskaviridae, Hacavirus, unclassified Hacavirus
 Duplodnaviria, Heunggongvirae, Uroviricota, Caudoviricetes, Thumleimavirales, Hafunaviridae, Haloferacalesvirus, Haloferacalesvirus thailandense
 Duplodnaviria, Heunggongvirae, Uroviricota, Caudoviricetes, Thumleimavirales, Druskaviridae, Tredecimvirus, unclassified Tredecimvirus
 Duplodnaviria, Heunggongvirae, Uroviricota, Caudoviricetes, Caudoviricetes incertae sedis, Vertoviridae, Chaovirus, Chaovirus bigenum
 Duplodnaviria, Heunggongvirae, Uroviricota, Caudoviricetes, Caudoviricetes incertae sedis, Vertoviridae, Myohalovirus, Myohalovirus spontanei
 Duplodnaviria, Heunggongvirae, Uroviricota, Caudoviricetes, Kirjokansivirales, Haloferuviridae, Retbasiphovirus, Retbasiphovirus hantatum
 Monodnaviria, Trapavirae, Saleviricota, Huolimaviricetes, Haloruvirales, Pleolipoviridae, Betapleolipovirus, unclassified Betapleolipovirus
 Monodnaviria, Trapavirae, Saleviricota, Huolimaviricetes, Haloruvirales, Pleolipoviridae, Betapleolipovirus, Betapleolipovirus halogeometrici
 Duplodnaviria, Heunggongvirae, Uroviricota, Caudoviricetes, Thumleimavirales, Halomagnusviridae, Hagravirus, Hagravirus capitaneum
 Duplodnaviria, Heunggongvirae, Uroviricota, Caudoviricetes, Caudoviricetes incertae sedis, Hapunavirus, Hapunavirus HAP1,
 Duplodnaviria, Heunggongvirae, Uroviricota, Caudoviricetes, Thumleimavirales, Hafunaviridae, Haloferacalesvirus, Haloferacalesvirus moolapense
 Duplodnaviria, Heunggongvirae, Uroviricota, Caudoviricetes, Kirjokansivirales, Graaviviridae, unclassified Graaviviridae,
 Monodnaviria, Trapavirae, Saleviricota, Huolimaviricetes, Haloruvirales, Pleolipoviridae, Alphapleolipovirus, Alphapleolipovirus finnoniense
 Monodnaviria, Trapavirae, Saleviricota, Huolimaviricetes, Haloruvirales, Pleolipoviridae, Betapleolipovirus, Betapleolipovirus senegalense
 Monodnaviria, Trapavirae, Saleviricota, Huolimaviricetes, Haloruvirales, Pleolipoviridae, Betapleolipovirus, Betapleolipovirus retbaense
 Monodnaviria, Trapavirae, Saleviricota, Huolimaviricetes, Haloruvirales, Pleolipoviridae, Betapleolipovirus, Betapleolipovirus rosense
 Monodnaviria, Trapavirae, Saleviricota, Huolimaviricetes, Haloruvirales, Pleolipoviridae, Alphapleolipovirus, Alphapleolipovirus thailandense
 Monodnaviria, Trapavirae, Saleviricota, Huolimaviricetes, Haloruvirales, Pleolipoviridae, Betapleolipovirus, Betapleolipovirus kalvoae
 Monodnaviria, Trapavirae, Saleviricota, Huolimaviricetes, Haloruvirales, Pleolipoviridae, Alphapleolipovirus, Alphapleolipovirus samutsakhonense
 Monodnaviria, Trapavirae, Saleviricota, Huolimaviricetes, Haloruvirales, Pleolipoviridae, Betapleolipovirus, Betapleolipovirus flexibile
 Duplodnaviria, Heunggongvirae, Uroviricota, Caudoviricetes, Thumleimavirales, Hafunaviridae, Mincapvirus, Mincapvirus eilatense
 Duplodnaviria, Heunggongvirae, Uroviricota, Caudoviricetes, Thumleimavirales, Hafunaviridae, Haloferacalesvirus, Haloferacalesvirus samutsakhonense
 Duplodnaviria, Heunggongvirae, Uroviricota, Caudoviricetes, Thumleimavirales, Hafunaviridae, Haloferacalesvirus, Haloferacalesvirus pyrstotum
 Duplodnaviria, Heunggongvirae, Uroviricota, Caudoviricetes, Thumleimavirales, Hafunaviridae, Haloferacalesvirus, Haloferacalesvirus salis
 Duplodnaviria, Heunggongvirae, Uroviricota, Caudoviricetes, Thumleimavirales, Hafunaviridae, Haloferacalesvirus, Haloferacalesvirus eilatense
 Duplodnaviria, Heunggongvirae, Uroviricota, Caudoviricetes, Thumleimavirales, Hafunaviridae, Laminvirus, Laminvirus thailandense
 Duplodnaviria, Heunggongvirae, Uroviricota, Caudoviricetes, Thumleimavirales, Hafunaviridae, Minorvirus, Minorvirus thailandense
 Duplodnaviria, Heunggongvirae, Uroviricota, Caudoviricetes, Caudoviricetes incertae sedis, Suolaviridae, Pormufvirus, Pormufvirus salinum
 Duplodnaviria, Heunggongvirae, Uroviricota, Caudoviricetes, Kirjokansivirales, Haloferuviridae, Dpdavirus, Dpdavirus caudatum
 Duplodnaviria, Heunggongvirae, Uroviricota, Caudoviricetes, Kirjokansivirales, Haloferuviridae, Saldibavirus, Saldibavirus natrii
 Duplodnaviria, Heunggongvirae, Uroviricota, Caudoviricetes, Kirjokansivirales, Graaviviridae, Beejeyvirus, Beejeyvirus bagaejinnorense
 Duplodnaviria, Heunggongvirae, Uroviricota, Caudoviricetes, Kirjokansivirales, Graaviviridae, Seejivirus, Seejivirus salhabitans
 Monodnaviria, Trapavirae, Saleviricota, Huolimaviricetes, Haloruvirales, Pleolipoviridae, Alphapleolipovirus, unclassified Alphapleolipovirus
 Duplodnaviria, Heunggongvirae, Uroviricota, Caudoviricetes, Thumleimavirales, Hafunaviridae, Haloferacalesvirus, Haloferacalesvirus serpentinense
 Singelaviria, Helvetiavirae, Dividoviricota, Laserviricetes, Halopanivirales, Simuloviridae, Yingchengvirus, Yingchengvirus koreaense
 Duplodnaviria, Heunggongvirae, Uroviricota, Caudoviricetes, Caudoviricetes incertae sedis, Sendosyvirus, Sendosyvirus APSE1,
 Riboviria, Orthornavirae, Negarnaviricota, Haploviricotina, Monjiviricetes, Mononegavirales, Lispiviridae, Acridvirus
 Riboviria, Orthornavirae, Negarnaviricota, Haploviricotina, Monjiviricetes, Mononegavirales, Lispiviridae, Hemipvirus
 Riboviria, Orthornavirae, Pisuviricota, Stelpaviricetes, Patatavirales, Potyviridae, Potyvirus, Potyvirus hardenbergiae
 Monodnaviria, Shotokuvirae, Cressdnaviricota, Repensiviricetes, Geplafuvirales, Genomoviridae, Gemykrogvirus, Gemykrogvirus bovas1
 Monodnaviria, Shotokuvirae, Cressdnaviricota, Repensiviricetes, Geplafuvirales, Geminiviridae, Begomovirus, Begomovirus hedyotis
 Viruses incertae sedis, Tolecusatellitidae, Betasatellite, Betasatellite hedyotis,,,,
 Riboviria, Orthornavirae, Kitrinoviricota, Alsuviricetes, Martellivirales, Endornaviridae, Alphaendornavirus, Alphaendornavirus helianthi
 Duplodnaviria, Heunggongvirae, Uroviricota, Caudoviricetes, Caudoviricetes incertae sedis, Schmidvirus, Schmidvirus sv1961P,
 Duplodnaviria, Heunggongvirae, Uroviricota, Caudoviricetes, Caudoviricetes incertae sedis, Schmidvirus, unclassified Schmidvirus,
 Duplodnaviria, Heunggongvirae, Uroviricota, Caudoviricetes, Caudoviricetes incertae sedis, Schmidvirus, Schmidvirus KHP30,
 Duplodnaviria, Heunggongvirae, Uroviricota, Caudoviricetes, Caudoviricetes incertae sedis, Schmidvirus, Schmidvirus KHP40,
 Riboviria, Orthornavirae, Kitrinoviricota, Alsuviricetes, Martellivirales, Endornaviridae, Alphaendornavirus, Alphaendornavirus helicobasidii
 Riboviria, Orthornavirae, Lenarviricota, Howeltoviricetes, Cryppavirales, Mitoviridae, Unuamitovirus, Unuamitovirus hemo1
 Viruses incertae sedis, Naldaviricetes, Lefavirales, Baculoviridae, Betabaculovirus, Betabaculovirus helarmigerae,,
 Viruses incertae sedis, Naldaviricetes, Lefavirales, Baculoviridae, Alphabaculovirus, unclassified Alphabaculovirus, Alphabaculovirus sp. 'altermaconfiguratae', Mamestra configurata nucleopolyhedrovirus B
 Viruses incertae sedis, Naldaviricetes, Lefavirales, Baculoviridae, Alphabaculovirus, Alphabaculovirus helarmigerae, Helicoverpa armigera nucleopolyhedrovirus,
 Viruses incertae sedis, Naldaviricetes, Lefavirales, Baculoviridae, Alphabaculovirus, Alphabaculovirus helarmigerae,,
 Riboviria, Orthornavirae, Kitrinoviricota, Alsuviricetes, Hepelivirales, Alphatetraviridae, Omegatetravirus, Omegatetravirus helicoverpae
 Viruses incertae sedis, Naldaviricetes, Lefavirales, Nudiviridae, Betanudivirus, Betanudivirus hezeae,,
 Varidnaviria, Bamfordvirae, Nucleocytoviricota, Megaviricetes, Pimascovirales, Pimascovirales incertae sedis, Ascoviridae, Ascovirus
 Monodnaviria, Shotokuvirae, Cressdnaviricota, Repensiviricetes, Geplafuvirales, Geminiviridae, Begomovirus, Begomovirus hemidesmi
 Viruses incertae sedis, Naldaviricetes, Lefavirales, Baculoviridae, Alphabaculovirus, Alphabaculovirus heleucae, Hemileuca species nucleopolyhedrovirus,
 Riboviria, Orthornavirae, Negarnaviricota, Haploviricotina, Monjiviricetes, Mononegavirales, Lispiviridae, Rivapovirus
 Riboviria, Orthornavirae, Negarnaviricota, Haploviricotina, Monjiviricetes, Mononegavirales, Lispiviridae, Xenophyvirus
 Riboviria, Orthornavirae, Pisuviricota, Stelpaviricetes, Patatavirales, Potyviridae, Potyvirus, Potyvirus henbanis
 Riboviria, Orthornavirae, Negarnaviricota, Polyploviricotina, Bunyaviricetes, Elliovirales, Peribunyaviridae, Herbevirus
 Riboviria, Pararnavirae, Artverviricota, Revtraviricetes, Blubervirales, Hepadnaviridae, Avihepadnavirus, Avihepadnavirus ciconiardeae
 Riboviria, Orthornavirae, Lenarviricota, Howeltoviricetes, Cryppavirales, Mitoviridae, Duamitovirus, Duamitovirus hean1
 Riboviria, Orthornavirae, Lenarviricota, Howeltoviricetes, Cryppavirales, Mitoviridae, Unuamitovirus, Unuamitovirus hean2
 Riboviria, Orthornavirae, Lenarviricota, Howeltoviricetes, Cryppavirales, Mitoviridae, Duamitovirus, Duamitovirus hean3
 Riboviria, Orthornavirae, Lenarviricota, Miaviricetes, Ourlivirales, Botourmiaviridae, Magoulivirus, Magoulivirus alphaheterobasidion
 Riboviria, Orthornavirae, Pisuviricota, Duplopiviricetes, Durnavirales, Partitiviridae, Alphapartitivirus, Alphapartitivirus uniheterobasidion
 Riboviria, Orthornavirae, Pisuviricota, Duplopiviricetes, Durnavirales, Partitiviridae, Alphapartitivirus, Alphapartitivirus duodecimheterobasidion
 Riboviria, Orthornavirae, Pisuviricota, Duplopiviricetes, Durnavirales, Partitiviridae, Alphapartitivirus, Alphapartitivirus tredecimheterobasidion
 Riboviria, Orthornavirae, Pisuviricota, Duplopiviricetes, Durnavirales, Partitiviridae, Alphapartitivirus, Alphapartitivirus quindecimheterobasidion
 Riboviria, Orthornavirae, Pisuviricota, Duplopiviricetes, Durnavirales, Partitiviridae, Alphapartitivirus, Alphapartitivirus triheterobasidion
 Riboviria, Orthornavirae, Pisuviricota, Duplopiviricetes, Durnavirales, Curvulaviridae, Orthocurvulavirus, Orthocurvulavirus annosi
 Viruses incertae sedis, Dinodnavirus,,,,,,
 Riboviria, Orthornavirae, Pisuviricota, Pisoniviricetes, Sobelivirales, Alvernaviridae, Dinornavirus,
 Riboviria, Orthornavirae, Pisuviricota, Pisoniviricetes, Picornavirales, Marnaviridae, Marnavirus, Marnavirus taichanarum
 Varidnaviria, Bamfordvirae, Nucleocytoviricota, Megaviricetes, Algavirales, Phycodnaviridae, Raphidovirus, Raphidovirus japonicum
 Monodnaviria, Shotokuvirae, Cressdnaviricota, Repensiviricetes, Geplafuvirales, Geminiviridae, Begomovirus, Begomovirus hibisci
 Riboviria, Orthornavirae, Kitrinoviricota, Alsuviricetes, Martellivirales, Kitaviridae, Higrevirus, Higrevirus waimanalo
 Riboviria, Orthornavirae, Kitrinoviricota, Alsuviricetes, Martellivirales, Virgaviridae, Tobamovirus, Tobamovirus fortpiercense
 Riboviria, Orthornavirae, Kitrinoviricota, Alsuviricetes, Martellivirales, Virgaviridae, Tobamovirus, Tobamovirus singaporense
 Viruses incertae sedis, Tolecusatellitidae, Betasatellite, Betasatellite hibiscusvenae,,,,
 Monodnaviria, Shotokuvirae, Cressdnaviricota, Repensiviricetes, Geplafuvirales, Geminiviridae, Begomovirus, Begomovirus hibiscusvenae
 Riboviria, Orthornavirae, Kitrinoviricota, Alsuviricetes, Martellivirales, Kitaviridae, Cilevirus, Cilevirus oahuense
 Riboviria, Orthornavirae, Kitrinoviricota, Alsuviricetes, Martellivirales, Togaviridae, Alphavirus, Alphavirus highlandsj
 Monodnaviria, Shotokuvirae, Cressdnaviricota, Arfiviricetes, Saturnivirales, Mahapunaviridae, Himalivirus,
 Riboviria, Orthornavirae, Pisuviricota, Pisoniviricetes, Picornavirales, Dicistroviridae, Triatovirus, Triatovirus himetobi
 Riboviria, Orthornavirae, Pisuviricota, Stelpaviricetes, Patatavirales, Potyviridae, Potyvirus, Potyvirus hippeastri
 Viruses incertae sedis, Halspiviridae, Salterprovirus, Salterprovirus australiense, Salterprovirus His1,,,
 Monodnaviria, Trapavirae, Saleviricota, Huolimaviricetes, Haloruvirales, Pleolipoviridae, Gammapleolipovirus, Gammapleolipovirus australiense
 Monodnaviria, Shotokuvirae, Cressdnaviricota, Repensiviricetes, Geplafuvirales, Geminiviridae, Begomovirus, Begomovirus alceae
 Monodnaviria, Shotokuvirae, Cressdnaviricota, Repensiviricetes, Geplafuvirales, Geminiviridae, Begomovirus, Begomovirus alceamuvisi
 Monodnaviria, Shotokuvirae, Cressdnaviricota, Repensiviricetes, Geplafuvirales, Geminiviridae, Begomovirus, Begomovirus alceavenae
 Viruses incertae sedis, Alphasatellitidae, Geminialphasatellitinae, Gosmusatellite, Gosmusatellite alceae,,,
 Riboviria, Orthornavirae, Pisuviricota, Pisoniviricetes, Picornavirales, Dicistroviridae, Triatovirus, Triatovirus hocoagulatae
 Riboviria, Orthornavirae, Duplornaviricota, Resentoviricetes, unclassified Resentoviricetes, Reovirales, Sedoreoviridae, Phytoreovirus
 Viruses incertae sedis, Naldaviricetes, Lefavirales, Nudiviridae, Gammanudivirus, Gammanudivirus hogammari,,
 Viruses incertae sedis, Tolecusatellitidae, Betasatellite, unclassified Betasatellite, Honeysuckle yellow vein beta,,,
 Viruses incertae sedis, Tolecusatellitidae, Betasatellite, Betasatellite ioniceravenaflavi,,,,
 Viruses incertae sedis, Tolecusatellitidae, Betasatellite, Betasatellite ioniceravenamusiviflavi,,,,
 Viruses incertae sedis, Tolecusatellitidae, Betasatellite, Betasatellite ioniceravenanaraense, Honeysuckle yellow vein mosaic Nara betasatellite,,,
 Monodnaviria, Shotokuvirae, Cressdnaviricota, Repensiviricetes, Geplafuvirales, Geminiviridae, Begomovirus, Begomovirus solanumjapanense
 Monodnaviria, Shotokuvirae, Cressdnaviricota, Repensiviricetes, Geplafuvirales, Geminiviridae, Begomovirus, Begomovirus macrotylomae
 Viruses incertae sedis, Pospiviroidae, Cocadviroid, Cocadviroid latenshumuli,,,,
 Viruses incertae sedis, Pospiviroidae, Hostuviroid, Hostuviroid impedihumuli,,,,
 Riboviria, Orthornavirae, Pisuviricota, Stelpaviricetes, Patatavirales, Potyviridae, Rymovirus, Rymovirus hordei
 Riboviria, Orthornavirae, Kitrinoviricota, Alsuviricetes, Martellivirales, Endornaviridae, Alphaendornavirus, Alphaendornavirus hordei
 Monodnaviria, Shotokuvirae, Cressdnaviricota, Repensiviricetes, Geplafuvirales, Geminiviridae, Begomovirus, Begomovirus loniceramusivi
 Monodnaviria, Shotokuvirae, Cressdnaviricota, Repensiviricetes, Geplafuvirales, Geminiviridae, Curtovirus, Curtovirus armoraciae
 Riboviria, Pararnavirae, Artverviricota, Revtraviricetes, Ortervirales, Caulimoviridae, Caulimovirus, Caulimovirus latensarmoraciae
 Riboviria, Pararnavirae, Artverviricota, Revtraviricetes, Blubervirales, Hepadnaviridae, Orthohepadnavirus, Orthohepadnavirus rotundifolii
 Riboviria, Orthornavirae, Kitrinoviricota, Alsuviricetes, Tymovirales, Alphaflexiviridae, Potexvirus, Potexvirus ecshostae
