realm,kingdom,phylum,class,order,family,genus,species
 Riboviria, Orthornavirae, Kitrinoviricota, Flasuviricetes, Amarillovirales, Flaviviridae, Hepacivirus, Hepacivirus hominis
 Ribozyviria, Ribozyviria incertae sedis, Kolmioviridae, Deltavirus, Deltavirus italiense,,,
 Ribozyviria, Ribozyviria incertae sedis, Kolmioviridae, Deltavirus, Deltavirus japanense,,,
 Ribozyviria, Ribozyviria incertae sedis, Kolmioviridae, Deltavirus, Deltavirus taiwanense,,,
 Riboviria, Orthornavirae, Kitrinoviricota, Alsuviricetes, Hepelivirales, Hepeviridae, unclassified Hepeviridae,
 Riboviria, Orthornavirae, Kitrinoviricota, Alsuviricetes, Hepelivirales, Hepeviridae, Orthohepevirinae, Paslahepevirus
 Riboviria, Orthornavirae, Pisuviricota, Pisoniviricetes, Picornavirales, Picornaviridae, Heptrevirinae, Hepatovirus
 Riboviria, Orthornavirae, Pisuviricota, Stelpaviricetes, Stellavirales, Astroviridae, Mamastrovirus, unclassified Mamastrovirus
 Riboviria, Orthornavirae, Pisuviricota, Pisoniviricetes, Picornavirales, Caliciviridae, Vesivirus, unclassified Vesivirus
 Monodnaviria, Shotokuvirae, Cressdnaviricota, Arfiviricetes, Cirlivirales, Endolinaviridae, Hudisavirus,
 unclassified viruses,,,,,,,
 Duplodnaviria, Heunggongvirae, Peploviricota, Herviviricetes, Herpesvirales, Orthoherpesviridae, Alphaherpesvirinae, Simplexvirus
 Duplodnaviria, Heunggongvirae, Peploviricota, Herviviricetes, Herpesvirales, Orthoherpesviridae, Alphaherpesvirinae, Varicellovirus
 Monodnaviria, Shotokuvirae, Cressdnaviricota, Arfiviricetes, Cirlivirales, Circoviridae, Cyclovirus, Cyclovirus humana
 Monodnaviria, Shotokuvirae, Cressdnaviricota, Repensiviricetes, Geplafuvirales, Genomoviridae, Gemyvongvirus, Gemyvongvirus humas1
 Monodnaviria, Shotokuvirae, Cressdnaviricota, Arfiviricetes, Cremevirales, Smacoviridae, Huchismacovirus, Huchismacovirus humas1
 Monodnaviria, Shotokuvirae, Cressdnaviricota, Arfiviricetes, Cremevirales, Smacoviridae, Huchismacovirus, Huchismacovirus humas2
 Monodnaviria, Shotokuvirae, Cressdnaviricota, Arfiviricetes, Cremevirales, Smacoviridae, Huchismacovirus, Huchismacovirus humas3
 Monodnaviria, Shotokuvirae, Cressdnaviricota, Arfiviricetes, Cremevirales, Smacoviridae, Inpeasmacovirus, Inpeasmacovirus humas1
 Monodnaviria, Shotokuvirae, Cressdnaviricota, Arfiviricetes, Cremevirales, Smacoviridae, Porprismacovirus, Porprismacovirus humas4
 Riboviria, Orthornavirae, Pisuviricota, Stelpaviricetes, Stellavirales, Astroviridae, Mamastrovirus, Mamastrovirus hominis
 Duplodnaviria, Heunggongvirae, Peploviricota, Herviviricetes, Herpesvirales, Orthoherpesviridae, Betaherpesvirinae, Roseolovirus
 Monodnaviria, Shotokuvirae, Cressdnaviricota, Arfiviricetes, Cirlivirales, Circoviridae, Circovirus, Circovirus human
 Monodnaviria, Shotokuvirae, Cressdnaviricota, Arfiviricetes, Ringavirales, Pecoviridae, Amaruvirus, Amaruvirus aka
 Monodnaviria, Shotokuvirae, Cossaviricota, Quintoviricetes, Piccovirales, Parvoviridae, Densovirinae, Iteradensovirus
 Monodnaviria, Shotokuvirae, Cressdnaviricota, Arfiviricetes, Cirlivirales, Circoviridae, Cyclovirus, Cyclovirus munthu
 Riboviria, Pararnavirae, Artverviricota, Revtraviricetes, Ortervirales, Retroviridae, unclassified Retroviridae, Human endogenous retroviruses
 Monodnaviria, Shotokuvirae, Cossaviricota, Quintoviricetes, Piccovirales, Parvoviridae, Parvovirinae, Erythroparvovirus
 Monodnaviria, Shotokuvirae, Cressdnaviricota, Arfiviricetes, Cirlivirales, Circoviridae, unclassified Circoviridae,
 Monodnaviria, Shotokuvirae, Cressdnaviricota, Arfiviricetes, Cremevirales, Smacoviridae, Porprismacovirus, Porprismacovirus humas1
 Monodnaviria, Shotokuvirae, Cressdnaviricota, Arfiviricetes, Cremevirales, Smacoviridae, Porprismacovirus, Porprismacovirus humas3
